text,label
Congratulations! You've won a $1000 gift card. Click here to claim it now.,spam
"Dear user, your account has been compromised. Please click the link to secure it.",spam
Special offer! Get 50% off on all products today only.,spam
"Hi, are you coming to the meeting tomorrow?",ham
Urgent! Your subscription is about to expire. Renew now.,spam
Get your free trial today! Don't miss out!,spam
"Hello, how are you? Are we still on for lunch?",ham
Claim your prize now! Limited time offer.,spam
"Please find the attached report. Regards, John.",ham
Get a free smartphone! Only for today.,spam
Reminder: Your bill is due in 3 days.,ham
"Buy one, get one free. Don't miss this exclusive offer!",spam
"Hey, are you available for a call later?",ham
Win a free vacation trip to Hawaii!,spam
"Congratulations, you've been selected for an exclusive reward.",spam
Your invoice for the recent purchase is attached.,ham
Exclusive offer: Get 30% off on your next purchase.,spam
Let me know your thoughts on the proposal.,ham
Your Amazon account has been temporarily suspended. Please verify your details.,spam
"Hi there, can we discuss the project tomorrow?",ham
"Dear user, you've been selected for a special promotion.",spam
Important: Your account balance is low.,ham
Free online courses available now. Enroll today!,spam
Please confirm the meeting time.,ham
"Limited time deal: Buy 2, get 1 free!",spam
"Don't miss out on this exclusive event, register now!",spam
Reminder: Your subscription will auto-renew in 2 days.,ham
Join our free webinar on marketing strategies.,ham
